id,url,manufacturer,model,rated_power_kw,rotor_diameter_m,rotor_area_m2,num_blades,hub_height_m,cut_in_wind_speed_ms,cut_out_wind_speed_ms,rated_wind_speed_ms,rotor_speed_rpm,generator_type,gearbox_type,tower_type,nacelle_weight_kg,rotor_weight_kg,tower_weight_kg,blade_weight_kg,total_weight_kg,voltage_v,frequency_hz,installation,offshore,onshore
1105,https://en.wind-turbine-models.com/turbines/1105-aerodyn-am-5-0-139,aerodyn,aerodyn aM 5.0/139,5000,139,15175,3,100,4,25,11.8,11.8,ASG or PMSG,,steel tube,277000,134000,,26800,,690,50/60 Hz,,Yes,Yes
1991,https://en.wind-turbine-models.com/turbines/1991-aerodyn-am-5-7-163,aerodyn,aerodyn aM 5.7/163,5700,163,20867,1,,3,22,,11.6,ASG / PMSG,,,290000,145000,,,,3300,50/60 Hz,,Yes,No
1989,https://en.wind-turbine-models.com/turbines/1989-aerodyn-am-6-0-139,aerodyn,aerodyn aM 6.0/139,6000,139,15174.6,3,,3,25,,11.8,ASG / PMSG,,,290000,135000,,,,3300,50/60 Hz,,Yes,Yes
1117,https://en.wind-turbine-models.com/turbines/1117-aerodyn-scd-6-0-140-advanced,aerodyn,aerodyn SCD 6.0/140 advanced,6000,140,15393.8,2,100,3,22,13,13.6,synchronous permanent,,steel tube,308000,,,,,,50/60 Hz,,Yes,Yes
1990,https://en.wind-turbine-models.com/turbines/1990-aerodyn-am-6-0-154,aerodyn,aerodyn aM 6.0/154,6000,154,18626.5,3,,3,25,,11.2,ASG / PMSG,,,290000,142000,,,,3300,50/60 Hz,,Yes,No
1116,https://en.wind-turbine-models.com/turbines/1116-aerodyn-scd-8-0-168,aerodyn,aerodyn SCD 8.0/168,8000,168,22167,2,100,3.5,25,11.5,11.4,synchronous,,steel tube,395000,,,,,,50/60 Hz,,Yes,Yes
1120,https://en.wind-turbine-models.com/turbines/1120-aerodyn-aeolus-11,aerodyn,aerodyn aeolus 11,30,11.7,113,2,14,3.5,25,10.5,92,asynchronous,,steel tube,500,,700,100,,380,50.0 Hz,,No,Yes
1121,https://en.wind-turbine-models.com/turbines/1121-aerodyn-aeolus-15,aerodyn,aerodyn aeolus 15,26,15,176.7,3,18,,,,,,,steel tube,,,,,,,,1983,No,Yes
2124,https://en.wind-turbine-models.com/turbines/2124-aerodynamo-aerodynamo,Aerodynamo,Aerodynamo Aerodynamo,10,8.6,58,4,10,,,,60,asynchronous,,steel tube,,,,,,,,1926,No,Yes
1378,https://en.wind-turbine-models.com/turbines/1378-aerodan-75-15,AERODAN,AERODAN 75/15,75,17,227,3,23,5,23,12,48.4,induction,,steel tube/lattice,,1200,6000,300,,415,50 Hz,,No,Yes
